,Comments,Date,Likes
40,I loved Mighty Mouse can’t believe he got let go,2023-08-31T07:02:56Z,0
41,Greatest fighter of all time is Jon jones.,2023-08-29T23:29:59Z,0
42,This was a big mistake by the UFC but in my opinion the biggest mistake was fedor emelianenko,2023-08-27T15:31:55Z,0
43,"The UFC and Dana doeant deserve DJ, throw away a decent and humble men DJ and he keep the A/H",2023-08-27T10:28:08Z,0
44,"DW only likes player with controversy, bad habit, egoistic and morons with so-called persona like McGregor. UFC don't deserve GOAT like DJ....",2023-08-26T17:03:50Z,0
45,What a GREAT video - really IMPRESSED with the cutting and flow of it - BRILLIANT WORK!!!,2023-08-25T07:55:47Z,0
46,"those punches from rodtang guy look utter hell
I hope i will never have to experience punches like those for the rest of my life",2023-08-23T21:54:40Z,0
47,The speed at which these guys move is remarkable. You can't blink during the fight.,2023-08-23T16:28:46Z,0
48,"Great content bro, really great",2023-08-23T16:16:41Z,0
49,"yeah, ufc wont value your skills nor respect it if you cant bring sell ticket from extra drama",2023-08-20T01:24:20Z,0
50,a lot of unknown info in under a half hour. Nice video.,2023-08-19T17:44:31Z,0
51,There are some amazing men in the sport that have massive hearts and are the true alpha male,2023-08-19T11:39:43Z,0
52,He’s amazing.       Pause,2023-08-18T11:44:20Z,0
53,His knee in that rematch at the end...........my god,2023-08-18T03:06:08Z,0
54,why do some fighters keep the mouth guard on after the fight? anyone knows? 13:00,2023-08-18T02:09:01Z,0
55,Lightest weight class = smallest pay?,2023-08-18T00:48:32Z,0
56,"I looked at the title and thought ""WTF is this?"" till I realized you meant the UFC Failed HIM 🤣",2023-08-17T19:15:18Z,0
57,That One belt is comically big on DJ haha,2023-08-16T13:40:43Z,0
58,"The failure was , they never pushed him as a champion , never did the things the top paid Fighters got from the UFC",2023-08-16T05:10:03Z,0
59,DJ's real father regretting now 😂,2023-08-15T10:31:02Z,1
60,UFC has way too much WWE type nonsense in it nowadays for me.,2023-08-14T14:05:43Z,0
61,"So humble, a inspirational man. Honor in defeat, honor in victory.",2023-08-13T21:49:08Z,0
62,"Dj beats figgy, Moreno, pantoja, aljo, yan, and O’Malley. The man will go blow for blow and beat any striker, and go head to head against any grappler and sub them. He is the greatest of all time.",2023-08-13T03:11:22Z,0
63,This was awesome. Thank you for the vid.,2023-08-12T18:38:09Z,0
64,5:14 The leg strength here is insane. Sent em flying! 😂,2023-08-12T04:04:50Z,0
65,"UFC wants money and only cares about money,  While ONE wants real talent from its fighters no matter what nation you are from. ONE unites all martial artists and fans together.  ONE is definitely the best in the world and the home of mix martial arts",2023-08-11T21:35:26Z,1
66,One is a full combat organization with a better rule set. UFC does not treat its fighters with the same respect. UFC needs to quit being run like a corporation but wait it is…… so One has this power to do great things for the sport by showing a certain level of integrity and respect. I love UFC but I love Pride tooooo and that made me realize UFC bought the Pride fighters but did not get the rule set. So it’s clear UFC needs to do two things. Make all 650+ fighters have health insurance and get the knees to a grounded opponent and fights judged as a whole or a similar rule set. One btw tried USA soil but not with the same Rule set it has in Asia. So both have some lessons to learn. But UFC has clearly done better but has to change how they treat health and pay to only 650 fighters very public and now. ❤ to all on earth.,2023-08-10T22:27:30Z,0
67,Of course I don't know Johnson personally but he just seems like a great person and I wish nothing but the best for him always,2023-08-10T15:42:41Z,0
68,"When people talk about ""that guy"" you can find Mighty Mouses name as the definition.",2023-08-10T14:30:47Z,0
69,"Mighty Mouse is perfectly built for One C. I get why UFC let DJ go as flyweight does not get any respect in NA, atleast not where it counts in PPVs ie. $$$$. One C is in Asia where flyweights are much more common if not normal so DJ will have a made for him audience. Win Win for everyone IMO. Dana did good & DJ did even better. Win Win",2023-08-10T14:13:13Z,0
70,"DJ finally getting the love and respect he's always deserved makes me so damn happy. Truly brings a tear to my eyes. Never cheated, no controversy, p4p he's my GOAT",2023-08-09T14:32:05Z,3
