,Comments,Date,Likes
61,"Absolute fantastic job creating this video, the respect you showed for Muay Thai fighting and these hard-working people ❤❤❤ I just sub to your Channel. Now commence the binge-watching, LOL keep up the great work. 👍",2023-08-10T01:00:49Z,0
62,"i dont' want to judge anothers culture, instead, i'll enjoy these fights :D",2023-08-09T07:05:02Z,0
63,awesome!!!!!!!,2023-08-09T00:47:45Z,0
64,"This is such an excellent documentary! I brought a tear to my, their stories are incredible and moving.",2023-08-04T22:24:47Z,3
65,Thanks for making this,2023-08-04T18:10:36Z,0
66,"You can see what type of fighter Rodtang is... with Johnson, I did not even see a tap. I think they stopped it because he went limp.",2023-08-04T16:12:43Z,3
67,"great documentary!! 
ONE is really on the rise! 
 Stamp is simply adorable!!! and Rodtang is awesome as well!
Very inspiring!",2023-08-04T02:54:10Z,1
68,Great video!,2023-07-31T22:38:41Z,0
69,ไทยแลน🔥💪🏆🖒❤,2023-07-31T19:15:09Z,0
70,🔥🏆,2023-07-31T19:14:36Z,0
71,Stamp's attitude is what sets her apart. Her smile is just so adorable.,2023-07-28T16:28:09Z,0
72,Rodtang is the scariest dude of all time.,2023-07-28T01:23:23Z,0
73,What are the names of the songs on this video,2023-07-27T12:18:36Z,0
74,Crazy to think Rodtang's losses have only come after split decision. Nobody has ever knocked him out or TOK'd him in One Championship!,2023-07-26T23:09:46Z,1
75,"How dare you say Miss Stamp went from the Top to Nothing. She is and always will be an important person. The majority of people in this world could never accomplish everything she's accomplished and continues to accomplish.  Miss Stamp is a championship of life. She's a champion in and out of the ring. Miss Stamp is a wonderful, inspirational person. Her actions speak volumes. To Miss Stamp, thank you.",2023-07-25T02:51:34Z,0
76,This is beautiful ❤,2023-07-23T20:14:28Z,0
77,STILL RUNNING FROM SUPERLEK ‼️‼️‼️‼️‼️‼️‼️‼️:- FACT,2023-07-22T22:51:18Z,0
78,I believe One Championship has the best variety of matches.. There always competitive and who else has a Olympic style wrestling in their ring other than the Olympics and they sport a belt for it. Awesome. I’ve been watching Stamp & Rodtang for the last two years.. And even if they lose… It’s something you don’t want to miss. I don’t see matches.. You will see Battles.,2023-07-21T22:33:04Z,1
79,Wonderful,2023-07-19T17:45:05Z,0
80,"Поэтому я буду болеть за них, мои любимые бойцы ONE, смотрел со слезами
_
Thats why i will always root for them, my favourite ONE  fighters.
Watched with tears of joy",2023-07-18T02:52:53Z,3
81,"Eat dokumentary I've ever seen, had to laugh and to cry",2023-07-15T09:43:42Z,0
82,"ONE Championship has, and always be, a farm league for the UFC.",2023-07-15T06:39:23Z,0
83,He’s gonna get cte,2023-07-15T05:38:12Z,0
84,"No child should regularly box or fight under muay thai rules. The solution is more economic solidarity fairness in this world, and maybe make modified rules for kids with no strikes to the head.",2023-07-13T12:19:15Z,0
85,"I didn’t know they fell in love, I always knew they were have meant to… maybe not",2023-07-13T11:15:16Z,0
86,Great contend. I love both of them. Thanks for sharing this,2023-07-13T08:03:11Z,1
87,Career of Cain Velasquez?,2023-07-12T19:39:53Z,1
88,"Bro this was outstanding, you keep getting better! Thanks for the awesome content.",2023-07-10T10:03:31Z,0
89,Please get the MMA guru video done. We’re all waiting ❤️,2023-07-10T06:42:42Z,0
90,Very well done. Thank you,2023-07-10T02:41:27Z,0
91,all i'm saying is Stamp can beat me up any time she wants 🤤🤤,2023-07-09T15:41:40Z,0
92,"Man love these videos, been binging them now for a few! Keep it up! Odds you do a video on Shavkat anytime soon? As a Kazakh native, makes me glad see a local guy up on the world stage",2023-07-09T04:11:54Z,0
93,"great documentary, cheers",2023-07-08T20:14:20Z,0
